id,journal_entry,stress_type
61,"I’m so behind on my coursework, I don’t know where to start.","School Stress"
62,"I’m worried about my cholesterol levels after my last checkup.","Health Stress"
63,"I’m barely making ends meet with my freelance gigs.","Financial Stress"
64,"My coworker keeps gossiping about me, and it’s creating tension.","Work Stress"
65,"I haven’t talked to my best friend in weeks, and I feel so alone.","Relationship Stress"
66,"I’m stressed about my thesis. I don’t think it’s good enough.","School Stress"
67,"I’m anxious about my upcoming doctor’s appointment.","Health Stress"
68,"I’m working overtime to pay off my car loan, and I’m burned out.","Financial Stress"
69,"My manager keeps changing my schedule last minute. It’s so stressful.","Work Stress"
70,"I feel like my partner doesn’t listen to me anymore.","Relationship Stress"
71,"I’m struggling to keep up with my online classes.","School Stress"
72,"I’m worried about my chronic pain flaring up again.","Health Stress"
73,"I can’t afford to fix my laptop, and I need it for school.","Financial Stress"
74,"My boss is so critical, I feel like I can’t do anything right.","Work Stress"
75,"I’m worried my friend is mad at me, but I don’t know why.","Relationship Stress"
76,"I’m so stressed about my midterms, I can’t even sleep.","School Stress"
77,"I’m scared my test results will show something bad.","Health Stress"
78,"I’m struggling to pay my utility bills this month.","Financial Stress"
79,"My coworker keeps undermining me in meetings.","Work Stress"
80,"I feel so distant from my family since I moved away.","Relationship Stress"
81,"I’m overwhelmed by my research paper deadline.","School Stress"
82,"I’m worried about my weight gain. It’s affecting my confidence.","Health Stress"
83,"I can’t afford to take a vacation, and I’m so burned out.","Financial Stress"
84,"My team at work is disorganized, and it’s stressing me out.","Work Stress"
85,"I had an argument with my sibling, and we’re not speaking.","Relationship Stress"
86,"I’m nervous about my upcoming exam results.","School Stress"
87,"I’m worried my medication isn’t working anymore.","Health Stress"
88,"I’m struggling to save money for emergencies.","Financial Stress"
89,"My boss keeps giving me unrealistic deadlines.","Work Stress"
90,"I feel like my friends are drifting apart from me.","Relationship Stress"
91,"I’m stressed about failing my chemistry class.","School Stress"
92,"I’m anxious about my upcoming surgery.","Health Stress"
93,"I can’t afford to repair my leaking roof.","Financial Stress"
94,"My coworker keeps taking credit for my ideas.","Work Stress"
95,"I’m worried my partner is losing interest in me.","Relationship Stress"
96,"I’m so behind on my project, I don’t know how to catch up.","School Stress"
97,"I’m scared my test results will show something serious.","Health Stress"
98,"I’m struggling to pay off my medical debt.","Financial Stress"
99,"My job is so stressful, I dread going to work every day.","Work Stress"
100,"I feel so disconnected from my partner lately.","Relationship Stress"
